Código Unico,Tipo de Sitio HISPAM,Nombre Sitio,Departamento,Provincia,Distrito,Direccion,TIPO DE ZONA,Zona,L/R,Atención Incidencias,Latitud,Longitud,Observación,nueva segmentación comercial,"Nemónico 
(Código único)"
LA00506,D_2,SUBESTACION-MT-BT-(CERCA-A-LAS-DELICIAS)-F,LAMBAYEQUE,CHICLAYO,OYOTUN,MZ A 00007 CAS.SANTA RITA,NO URBANO,Zona 1,REGIONES,FEE,-6.795485,-79.288535,Sitio_FITEL,Abandonar,LA00506
IC00191,D_1,SUBTANJALLA,ICA,ICA,SUBTANJALLA,INDEPENDENCIA 210,URBANO REGIONES,Zona 2,REGIONES,FEE,-14.0186,-75.7578,,Clásico,IC00191
LI01339,B_1,SUCARABAYLLO,LIMA,LIMA,CARABAYLLO,AV. D MZ. F4 LOTE 12 INT 3 URB. SAN PEDRO PRIMERA ETAPA,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-11.840573,-77.075815,,Oro,LI01339
LA00507,B_2,SUCCHA,LAMBAYEQUE,FERREÑAFE,SALAS,"CC.PP SUCCHA, COMUNIDAD SAN FRANCISCO DE ASIS",NO URBANO,Zona 1,REGIONES,FEE,-6.230808,-79.498578,Sitio_FITEL,Abandonar,LA00507
LI00270,D_2,SUCHE,LIMA,HUAROCHIRI,SANTIAGO DE TUNA,"CERRO SUCHE, CERCA AL CENTRO POBLADO COCACHACRA ALT. KM 60 CARRETERA CENTRAL",NO URBANO,Zona 2,LIMA,FEE,-11.9638889,-76.5427778,,Abandonar,LI00270
SM00076,B_2,SUCHICHE,SAN MARTIN,SAN MARTIN,TARAPOTO,JR. MANUEL MOREY 335,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-6.485497,-76.359518,,Oro,SM00076
LI00109,B_2,SUCRE /MAGDALENA A,LIMA,LIMA,PUEBLO LIBRE,AV SUCRE N 1193,URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.082906,-77.066949,,Black,LI00109
AY00087,B_2,SUCRE_AYACUCHO,AYACUCHO,HUAMANGA,AYACUCHO,JR.  GRAU 247,URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-13.16066,-74.22897,,Oro,AY00087
SM00025,B_3,SULFUROS,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,AV. ALMIRANTE MIGUEL GRAU N° 167 (AV ANDALUCIA),NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-6.04078,-76.9696,,Oro,SM00025
PI00049,D_2,SULLANA,PIURA,SULLANA,SULLANA,ENTRE LAS CALLES 5 Y 6 Y TRANSVERSAL CALLAO S/N.   BARRIO BUENOS AIRES.,NO URBANO,Zona 1,REGIONES,FEE,-4.89806,-80.68469,,Oro,PI00049
LI00266,D_1,ALBUFERA,LIMA,HUAURA,VEGUETA,CP MEDIO MUNDO ALT. KM 172 CARRETERA PANAMERICANA NORTE,NO URBANO,Zona 2,REGIONES,FEE,-10.925281,-77.654166,,Abandonar,LI00266
PI00382,B_3,SULLANA_NORTE,PIURA,SULLANA,BELLAVISTA,"MZ ""A"" LOTE 15 AA.HH. ESTEBAN PABLETIS",NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-4.882684,-80.672401,,Oro,PI00382
LI00190,D_1,PROLIMA,LIMA,LIMA,COMAS,"MZ C LOTE 4, NUEVO SECTOR 2DA ETAPA - URB. PRO (ALT. CUADRA 81 DE AV. ALFREDO MENDIOLA)",URBANO LIMA,Zona 3,LIMA,FEE,-11.9392,-77.07187,,Oro,LI00190
IC00089,B_1,SUNAMPE,ICA,ICA,ICA,AV. AMERICA 127,URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-13.4254,-76.1321,,Oro,IC00089
LO00053,D_1,CABALLOCOCHA URA,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,RAMÓN CASTILLA,NO URBANO,Zona 2,REGIONES,FEE,-3.908667,-70.516008,,Abandonar,LO00053
LI01394,B_2,SUNAT LIMA,LIMA,LIMA,LIMA,"Av.Garcilazo de la Vega 1440, Cercado de Lima/Av. Garcilaso de La Vega 1472 (Edificio San Mateo) Piso 5",URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.058954,-77.038118,,Black,LI01394
LI00877,B_2,SUNAT SAN ISIDRO,LIMA,LIMA,SAN ISIDRO,Cruce Calle Las Camelias cdra 4 con Calle Andres Coronel Reyes cdra 5,URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.09443056,-77.02897222,,Black,LI00877
LI00878,B_2,SUNAT_LIMA,LIMA,LIMA,LIMA,AV. GARCILAZO DE LA VEGA N° 1440 - CERCADO DE LIMA,URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.058954,-77.038118,,Black,LI00878
LI00237,D_2,SUPE,LIMA,BARRANCA,SUPE,LOMA DE CERRO (ALT. KM 187 CARRETERA P.NORTE) PUEBLO DE SUPE,NO URBANO,Zona 2,REGIONES,FEE,-10.80719,-77.717914,,Abandonar,LI00237
LI04486,B_1,SUPE PUERTO,LIMA,BARRANCA,SUPE PUERTO,LOS PINOS S/N,NO URBANO,Zona 2,REGIONES,FEE,-10.800364,-77.7435117,,Abandonar,LI04486
LI06260,B_2,SUPERINTEN_BRENA,LIMA,LIMA,BREÑA,Av. España cuadra 7 &  Jr. Varela cuadra 9,URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.05853,-77.0457,,Black,LI06260
LI05274,B_2,SUPERUNDA ,LIMA,LIMA,LIMA,AV. ABANCAY 210 CERCADO DE LIMA,URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.050631,-77.031211,,Black,LI05274
LI00518,B_3,SUPERUNDA 1,LIMA,LIMA,LIMA,JR CONDE DE SUPERUNDA CON JR. RUFINO TORRICO,URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.0433,-77.0336,,Black,LI00518
LI02008,B_3,SUPERUNDA 2,LIMA,LIMA,LIMA,A la altura de  Jr. Callao  184,URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.0459,-77.0317,,Black,LI02008
IC00028,B_1,SUR CHINCHA,ICA,CHINCHA,CHINCHA ALTA,Carretera Panamericana Sur S/N Km 200 (Antes Barrio América),URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-13.44039,-76.13578,,Oro,IC00028
TA00130,B_3,SUR TOQUEPALA,TACNA,JORGE BASADRE,ILABAYA,Cerro Repetidor Sur del Campamento  Minero  Toquepala ,NO URBANO,Zona 3,REGIONES,BAJO DEMANDA,-17.262567,-70.602418,,Abandonar,TA00130
LI00732,B_1,SURCO 1,LIMA,LIMA,SANTIAGO DE SURCO,AV ANDRES TINOCO 189 URBANIZACION PROLONGACION BENAVIDES ,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.14205,-76.98996,,Black,LI00732
LI06075,B_3,SURF_CAMP_PULPITO,LIMA,LIMA,LURIN,ASOCIACION SUMAC PACHA CARR. AUTOPISTA PANAMERICANA SUR KM 37.2 MZ J LOTE 02,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.301199,-76.828773,,Clásico,LI06075
LI00678,B_3,SURINAMA 1,LIMA,LIMA,LA VICTORIA,"Av. Aviación 1617/Av. San Juan (por el Ovalo Arriola)
",URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-12.0776,-77.01,,Black,LI00678
LI02010,B_3,SURINAMA 2,LIMA,LIMA,LA VICTORIA,"Surimana Cdra 4/ Sta. Beatita (Por la parroquia S.J. Masías) entrada a la Asoc. De prop. Del C:H
",URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-12.0789,-77.0054,,Black,LI02010
LI02011,B_3,SURINAMA 3,LIMA,LIMA,LA VICTORIA,"Poste ubicado en la Av. San Luis, a la altura del cruce con Rio Amazonas/BANDA BASE: AV. PROLONGACION GAMARRA 1127 POSTE 3: POSTE UBICADO EN LA AV. SAN LUIS, A LA ALTURA DEL CRUCE CON RIO AMAZONAS",URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-12.0771,-77.0,,Black,LI02011
PI00453,D_1,VICE,PIURA,SECHURA,VICE,CA. PIURA Y TACNA,NO URBANO,Zona 1,REGIONES,FEE,-5.42185833,-80.77586944,,Abandonar,PI00453
LI00286,P_1,SURQUILLO - FELIPE,LIMA,LIMA,SURQUILLO,AV. SAN FELIPE 1100-1144,URBANO LIMA,Zona 2,LIMA,FEE,-12.109347,-77.015597,,Black,LI00286
LI05969,B_2,SUSPIROS_CENTRAL,LIMA,LIMA,LOS OLIVOS,MZ 122 LT 27 - AH. ENRIQUE MILLA OCHOA.,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-11.955709,-77.081577,,Black,LI05969
LI00631,B_2,SWISSHOTEL NEW,LIMA,LIMA,SAN ISIDRO,"VÍA CENTRAL 150 C.E. REAL, SAN ISIDRO",URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.097609,-77.037866,,Black,LI00631
AY00236,B_2,T CALVARIO,AYACUCHO,HUAMANGA,AYACUCHO,Cuarta cuadra de Jr. Callao 2do pasaje #107,URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-13.158467,-74.230567,,Oro,AY00236
CA00039,D_3,TABACAL,CAJAMARCA,CAJABAMBA,CACHACHI,CASERIO SHAHUINDO DE AMARCUCHO,NO URBANO,Zona 1,REGIONES,FEE,-7.51080556,-78.1721944,,Abandonar,CA00039
SM00001,D_3,TABALOSO,SAN MARTIN,LAMAS,TABALOSOS,"INTERSECCION DE JR. 25 DE NOVIEMBRE CON JR MICAELA BASTIDAS, EN EL BARRIO PUEBLO JOVEN 11 DE NOVIEMBRE.",NO URBANO,Zona 1,REGIONES,FEE,-6.38083333,-76.6299722,Sitio_PIA,Abandonar,SM00001
SM00314,B_3,TABALOSOS URA,SAN MARTIN,LAMAS,TABALOSOS,CRUCERO  LAMAS 100  Y AMAZONAS - BARRIO PLAZA CENTRAL,NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-6.38872222,-76.63362778,,Abandonar,SM00314
LA00508,B_2,TABLAZOS,LAMBAYEQUE,CHICLAYO,CHONGOYAPE,"CASERIO TABLAZOS PREDIO RUSTICO ""LAUREANA"" / UNIDAD CATASTRAL: 15881 CODIGO DE PREDIO 170045711 ",NO URBANO,Zona 1,REGIONES,FEE,-6.699266,-79.430312,Sitio_FITEL,Abandonar,LA00508
CA00069,D_2,TACABAMBA,CAJAMARCA,CHOTA,TACABAMBA,CASRIO LUZOMPAMPA S/N,NO URBANO,Zona 1,REGIONES,FEE,-6.40713889,-78.598,,Abandonar,CA00069
LI01209,B_2,TACAYMANO,LIMA,LIMA,SAN JUAN DE LURIGANCHO,AV. LAS LOMAS 1550-1542,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-12.0117,-76.9818,,Oro,LI01209
TA00009,P_2,TACNA  CT (ZELA),TACNA,TACNA,TACNA,CALLE ZELA N° 727,URBANO REGIONES,Zona 3,REGIONES,FEE,-18.0111,-70.2481,,Oro,TA00009
TA00037,B_2,TACNA CAV,TACNA,TACNA,TACNA,AV. SAN MARTIN 326,URBANO REGIONES,Zona 3,REGIONES,BAJO DEMANDA,-18.01264,-70.25072,,Oro,TA00037
AN00368,D_1,DOS OBREROS 1 y 2,ANCASH,RECUAY,AIJA,CERRO DOS OBREROS,NO URBANO,Zona 2,REGIONES,FEE,-9.74527778,-77.51333333,,Abandonar,AN00368
TA00094,B_2,TACNA_CAP1 (LA BANDERA),TACNA,TACNA,TACNA,FUNDO CHOLOLO – AV. LITORAL S/N,URBANO REGIONES,Zona 3,REGIONES,BAJO DEMANDA,-18.0249,-70.2694,,Oro,TA00094
AR00578,B_2,TACNA_Y_ARICA,AREQUIPA,AREQUIPA,MIRAFLORES,AVENIDA TACNA Y ARICA N° 300,URBANO REGIONES,Zona 3,REGIONES,FEE,-16.38048,-71.50937,,Clásico,AR00578
TA00051,B_2,TACNA-CIRCUNVALACION,TACNA,TACNA,ALTO DE LA ALIANZA,AAHH LA ESPERANZA MZ 28 LOTE 11 ,URBANO REGIONES,Zona 3,REGIONES,BAJO DEMANDA,-17.99338,-70.25054,,Oro,TA00051
LI00813,B_2,TAGORE,LIMA,LIMA,PUEBLO LIBRE,"S/N Parque Tagore, Pueblo Libre.",URBANO LIMA,Zona 1,LIMA,FEE,-12.07584,-77.07822,,Black,LI00813
PA00095,D_1,POZUZO,PASCO,OXAPAMPA,POZUZO,"FUNDO SAN JOSÉ, ALT. KM. 3 CARRETERA PRINCIPAL",NO URBANO,Zona 2,REGIONES,FEE,-10.0807848,-75.5504765,,Abandonar,PA00095
LI00312,B_2,TAHUANTINSUYO,LIMA,LIMA,INDEPENDENCIA,AV CHINCHAYSUYO 583 URB TAHUANTINSUYO-INDEP,URBANO LIMA,Zona 3,LIMA,FEE,-11.9774,-77.0504,,Clásico,LI00312
JU00107,B_2,TAHUANTINSUYO HUANCAYO,JUNIN,HUANCAYO,EL TAMBO,AV LA ESPERANZA 320 EL TAMBO,URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-12.03707,-75.22826,,Oro,JU00107
LI04492,B_1,TAHUANTINSUYO URA,LIMA,LIMA,INDEPENDENCIA,JR. QUIPUCAMAYOC 177 181 URB. TAHUANTINSUYO,URBANO LIMA,Zona 3,LIMA,FEE,-11.9846444,-77.0558501,,Clásico,LI04492
AR00613,B_2,TAHUAYCANI_2,AREQUIPA,AREQUIPA,YANAHUARA,AV. TAHUAYCANI 101,URBANO REGIONES,Zona 3,REGIONES,FEE,-16.407505,-71.558579,,Black,AR00613
LI03999,B_2,TAI_LOY,LIMA,LIMA,LIMA,MONTEVIDEO 1111 – CERCADO DE LIMA,URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.0888005,-77.0140496,,Black,LI03999
AR00349,B_2,TAKIRUS,AREQUIPA,AREQUIPA,SOCABAYA,SECTOR SORAYA DE LOS ANGELES,URBANO REGIONES,Zona 3,REGIONES,BAJO DEMANDA,-16.457942,-71.53986,,Clásico,AR00349
AR00025,D_1,CHIVAY,AREQUIPA,CAYLLOMA,YANQUE,CERRO PALLACCLLE ,NO URBANO,Zona 3,REGIONES,FEE,-15.651512,-71.649045,,Abandonar,AR00025
PI00015,B_3,TALARA NORTE,PIURA,TALARA,PARIÑAS,SAN PEDRO H – 46,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-4.5663,-81.27378,,Oro,PI00015
PI00451,D_2,TALARA REP,PIURA,TALARA,PARIÑAS,C° TALARA (SECTOR A - URB. LUIS NEGREIROS VEGA),URBANO REGIONES,Zona 1,REGIONES,FEE,-4.59695556,-81.29121389,,Oro,PI00451
AY00167,D_1,QEQRA,AYACUCHO,LA MAR,TAMBO,CERRO CUSA CCASA,NO URBANO,Zona 2,REGIONES,FEE,-12.9331,-74.004,,Abandonar,AY00167
UC00046,D_1,ATALAYA UCAYALI URA,UCAYALI,ATALAYA,RAYMONDI,JR. AMAZONAS S/N,NO URBANO,Zona 2,REGIONES,FEE,-10.7288,-73.75386,,Abandonar,UC00046
LL00288,B_2,TALENTOS,LA LIBERTAD,TRUJILLO,TRUJILLO,MZ K LT 15 URB INGENIEROS II ,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-8.12955,-79.02796,,Black,LL00288
LI04767,D_1,VENEZUELA URA,LIMA,LIMA,LIMA,Av. Venezuela 3070,URBANO LIMA,Zona 1,LIMA,FEE,-12.05881667,-77.07437972,,Black,LI04767
PI00516,B_2,TAMARINDO,PIURA,PAITA,TAMARINDO,"JR BOLIVAR S/N, C.P.M. EL TAMARINDO.",NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-4.878645,-80.976478,,Abandonar,PI00516
LI01063,B_2,TAMAYO NEW NEW,LIMA,LIMA,SAN ISIDRO,AV. REPUBLICA DE COLOMBIA # 643,URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.09794,-77.0278194,,Black,LI01063
JU00028,D_3,TAMBO CATV,JUNIN,HUANCAYO,EL TAMBO,PROLONGACION MOQUEGUA 2765,URBANO REGIONES,Zona 2,REGIONES,FEE,-12.043705,-75.228611,,Oro,JU00028
LA00015,B_2,TAMBO CHICLAYO,LAMBAYEQUE,CHICLAYO,LA VICTORIA,CALLE COLLASUYO No 873 (MZ H LT 8) SECTOR 3 PRIMERA PARTE PARCELA A AAHH LA VICTORIA,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-6.79959,-79.83767,,Clásico,LA00015
LI00582,D_1,CHACARILLA URA,LIMA,LIMA,SAN BORJA,"LOTE 12 MZ. Z-2 AV. ANGAMOS  Nº 653-655, URB. CHACARILLA DEL ESTANQUE",URBANO LIMA,Zona 1,LIMA,FEE,-12.11026,-76.98629,,Black,LI00582
PI00071,P_3,MANCORA URA 1,PIURA,TALARA,MANCORA,"AV. GRAU MZ E LT 1 ,144 PLAZUELA GRAU",NO URBANO,Zona 1,REGIONES,FEE,-4.107008,-81.05143,,Clásico,PI00071
LI01109,B_2,TAMBO INGA NEW,LIMA,LIMA,PUENTE PIEDRA,ASOCIACIÓN DE VIVIENDAS LOS CEDROS MZ A1 LOTE 5A,URBANO LIMA,Zona 3,LIMA,FEE,-11.8836,-77.06929,,Oro,LI01109
LA00509,B_1,TAMBO REAL_LA,LAMBAYEQUE,FERREÑAFE,PITIPO,"VALLE LA LECHE- SECTOR CALUPE/ EL PALTO. Dist.PITIPO, Prov. FERREÑAFE, Dpto. LAMBAYEQUE ",NO URBANO,Zona 1,REGIONES,FEE,-6.48546,-79.73177,Sitio_FITEL,Abandonar,LA00509
JU00015,B_2,TAMBO UNIVERSITARIA,JUNIN,HUANCAYO,EL TAMBO,JR LOS ALAMOS 1847 - AAHH SAN PEDRO - LOTE 2 MZ L,URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-12.02534,-75.22323,,Oro,JU00015
LI01661,B_2,TAMBO VIEJO,LIMA,LIMA,CIENEGUILLA,"CALLE INCA ROCA ZONA B, MZ I, LT.07 - CIENEGUILLA",URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.11307,-76.81793,,Clásico,LI01661
JU00479,B_2,TAMBO_ESPERANZA,JUNIN,HUANCAYO,EL TAMBO,JR MICAELA BASTIDAS 114 - SAN ELIZABETH,URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-12.033291,-75.22214,,Oro,JU00479
PI00566,B_3,TAMBO_GRANDE_IV,PIURA,PIURA,TAMBO GRANDE,CASERIO CAHUIDE VALLE DE LOS INCAS,NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-4.888817,-80.462272,,Oro,PI00566
LI06252,B_2,TAMBO_REAL_REEM,LIMA,LIMA,SANTIAGO DE SURCO,AVENIDA CENTRAL CUADRA 4,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.10859,-76.96345,,Black,LI06252
IC00122,B_3,TAMBO_SUR,ICA,CHINCHA,TAMBO DE MORA,CALLE SIMON BOLIVAR # 260 SECTOR CRUZ VERDE,URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-13.46354,-76.18667,,Abandonar,IC00122
SM00026,P_3,MOYOBAMBA ,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,ESQ. ALFONSO DE ALVARADO 620 CON OSCAR R. BENAVIDES,NO URBANO,Zona 1,REGIONES,FEE,-6.03230694,-76.9713,Sitio_PIA,Oro,SM00026
AR00281,B_3,TAMBOMAYO,AREQUIPA,CAYLLOMA,TAPAY,"MINERA TAMBOMAYO - BUENAVENTURA, AREQUIPA",NO URBANO,Zona 3,REGIONES,BAJO DEMANDA,-15.92308056,-71.91319167,,Abandonar,AR00281
MD00012,B_2,TAMBOPATA,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,JR. MANU 6S 02,URBANO REGIONES,Zona 3,REGIONES,BAJO DEMANDA,-12.59409,-69.19449,,Clásico,MD00012
AP00195,B_2,TAMBURCO,APURIMAC,ABANCAY,TAMBURCO,AV. MICAELA BASTIDAS S/N TAMBURCO,NO URBANO,Zona 3,REGIONES,BAJO DEMANDA,-13.62261,-72.87289,,Abandonar,AP00195
LO00056,D_2,TAMSHIYACU,LORETO,MAYNAS,FERNANDO LORES,"CARRETERA TAMSHIYACU, YAVARI MIRIN, INDUSTRIAL GANADERA ESPERANZA",NO URBANO,Zona 2,REGIONES,FEE,-4.00811,-73.15598,Sitio_PIA,Abandonar,LO00056
CU00002,B_1,TANCARPATA,CUSCO,CUSCO,SAN JERONIMO,VIA EVITAMIENTO MZ F LT 45 CENTRO POBLADO CHIMPAHUAYLLA,URBANO REGIONES,Zona 3,REGIONES,BAJO DEMANDA,-13.55242,-71.88301,,Clásico,CU00002
PI00639,B_2,TANGARA_SULLANA,PIURA,SULLANA,MIGUEL CHECA,AV. CARLOS AUGUSTO SALAVERRY MZ C2 LT 20  SECTOR B - NUEVO HORIZONTE,NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-4.919385,-80.72397,,Abandonar,PI00639
PI00003,B_2,TANGARARA,PIURA,SULLANA,SULLANA,SECTOR D LT D 01 NUEVA SULLANA,NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-4.90829,-80.72073,,Oro,PI00003
PI00180,B_2,TANQUE EJIDOS,PIURA,PIURA,CASTILLA,CASERIO MIRAFLORES MZ.A LOTE 11,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-5.16411,-80.61421,,Clásico,PI00180
LI00722,B_2,TANQUEPTEPIEDRA,LIMA,LIMA,PUENTE PIEDRA,ASOCIACION DE PROPIEDAD RESIDENCIAL VILLA LA ALBORADA II ETAPA MZ H LT 9,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-11.935683,-77.08762718,,Oro,LI00722
JU00388,B_3,TANQUESH,JUNIN,TARMA,HUASAHUASI,CERRO TANQUESH,NO URBANO,Zona 2,REGIONES,BAJO DEMANDA,-11.2625,-75.64833333,,Abandonar,JU00388
LI00566,B_2,TANTAMAYO,LIMA,LIMA,SAN MARTIN DE PORRES, AV. TANTAMAYO MZ T LOTE 6 URB. VILLA REAL,URBANO LIMA,Zona 3,LIMA,FEE,-11.963848,-77.092743,,Oro,LI00566
PU00103,B_2,TAPARACHI,PUNO,SAN ROMAN,JULIACA,"MANZANA B-28 LOTE 31 ZONA 2 BLOQUE H. URB. TAPARACHI, DISTRITO DE JULIACA, PROVINCIA Y DEPARTAMENTO DE PUNO",URBANO REGIONES,Zona 3,REGIONES,FEE,-15.51778,-70.12326,,Oro,PU00103
LI04780,B_3,TAQUILLA CORREVIENTOS,LIMA,CAÑETE,CALANGO,SBN - ESTACION TAQUILLA Y OTROS,NO URBANO,Zona 2,LIMA,BAJO DEMANDA,-12.52694444,-76.58911111,,Abandonar,LI04780
TU00032,B_2,TARAPACA TUMBES,TUMBES,ZARUMILLA,ZARUMILLA,AV M. RAMON CASTILLA 900,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-3.50745,-80.27076,,Oro,TU00032
AR00103,B_3,TARAPACA_AR,AREQUIPA,AREQUIPA,MIRAFLORES,"PREDIO UBICADO EN EL PUEBLO TRADICIONAL MIRAFLORES, CALLE VILLA FUERTE N° 314 - 316, MZ I2 LT 25",URBANO REGIONES,Zona 3,REGIONES,BAJO DEMANDA,-16.424775,-71.537091,,Clásico,AR00103
TA00052,B_2,TARAPACA_TA,TACNA,TACNA,TACNA,"SECTOR DENOMINADO LAS VILCAS, PARCELA B, PAGO DE OLANIQUE",URBANO REGIONES,Zona 3,REGIONES,BAJO DEMANDA,-18.02403,-70.23927,,Oro,TA00052
TA00190,B_2,TARAPACA_TA2,TACNA,TACNA,POCOLLAY,UBICACIÓN RURAL B-2-1 DEL SECTOR SOBRAYA.,URBANO REGIONES,Zona 3,REGIONES,BAJO DEMANDA,-17.993983,-70.199568,,Clásico,TA00190
SM00044,B_2,TARAPOTILLO,SAN MARTIN,SAN MARTIN,TARAPOTO,"JR. PUTUMAYO N° 143, BARRIO TARAPOTILLO",NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-6.47336,-76.36598,Sitio_PIA,Oro,SM00044
SM00046,B_2,TARAPOTO 2,SAN MARTIN,SAN MARTIN,TARAPOTO,"C.P.M. 9 DE ABRIL, JR. MANCO INCA Nº 400",URBANO REGIONES,Zona 1,REGIONES,FEE,-6.48881,-76.37245,,Oro,SM00046
SM00315,B_3,TARAPOTO CAV,SAN MARTIN,SAN MARTIN,TARAPOTO,JR MARTINEZ DE COMPAGÑON 243,NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-6.48874,-76.36144,,Oro,SM00315
SM00045,P_3,TARAPOTO CT,SAN MARTIN,SAN MARTIN,TARAPOTO,ESQ. RAMÓN CASTILLA CON AUGUSTO B. LEGUÍA,URBANO REGIONES,Zona 1,REGIONES,FEE,-6.48748,-76.36174,,Oro,SM00045
SM00504,B_2,TARAPOTO_MORALES,SAN MARTIN,SAN MARTIN,MORALES,JR AUGUSTO B LEGUIA # 540,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-6.47502,-76.381835,,Oro,SM00504
LA00142,B_2,TARATA LAMB,LAMBAYEQUE,CHICLAYO,CHICLAYO,Calle Faustino Sarmiento N° 401,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-6.773399,-79.834559,,Black,LA00142
TA00129,D_3,TARATA URA,TACNA,TARATA,TARATA,ESQ CALLE ZELA / BOLOGNESI,NO URBANO,Zona 3,REGIONES,FEE,-17.47438056,-70.03272222,,Abandonar,TA00129
JU00389,P_3,TARMA  CT,JUNIN,TARMA,TARMA,JR. MOQUEGUA 815,NO URBANO,Zona 2,REGIONES,FEE,-11.4207945,-75.6880259,,Oro,JU00389
JU00056,D_3,TARMA ERMO,JUNIN,JUNIN,JUNIN,PAUCARTAMBO 265,NO URBANO,Zona 2,REGIONES,FEE,-11.41822,-75.68697,,Abandonar,JU00056
JU00382,P_3,TARMA RADIO,JUNIN,TARMA,TARMA,C° INCATACUNA,NO URBANO,Zona 2,REGIONES,FEE,-11.9774,-77.0504,,Oro,JU00382
AR00255,B_2,TASAHUAYO,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,Mz 21A Lte. 16 Zona A Calle Venezuala N° 101,URBANO REGIONES,Zona 3,REGIONES,BAJO DEMANDA,-16.44394,-71.51541,,Oro,AR00255
LI04550,B_2,TASSO,LIMA,LIMA,SAN BORJA,Av. San Borja Sur - Cuadra 4,URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.101171,-77.005025,,Black,LI04550
IC00045,B_2,TATE,ICA,ICA,PACHACUTEC,"CALLE MANCO CAPAC MZ H1, LOTE 8. LOCAL DE LA MUNICIPALIDAD DE PACHACUTEC",URBANO REGIONES,Zona 2,REGIONES,FEE,-14.1518,-75.6919,,Abandonar,IC00045
CA00481,D_2,TAURIPAMPA,CAJAMARCA,CHOTA,LAJAS,PREDIO DENOMINADO CEDADA MONTE EN LA COMUNIDAD DE TAURIPAMPA,NO URBANO,Zona 1,REGIONES,FEE,-6.5958882,-78.762333,,Abandonar,CA00481
CA00424,B_2,TAYABAMBA,CAJAMARCA,CAJAMARCA,CAJAMARCA,Jr. Amazonas N° 143 Barrio San Jose,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-7.15381,-78.51929,,Oro,CA00424
LI00837,B_3,TAYACAJA 1,LIMA,LIMA,LIMA,Jr. Moquegua frente al predio # 861 altura Plaza 2 de Mayo. Distrito de Lima. ,URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.04623,-77.0418,,Black,LI00837
