Código Unico,Tipo de Sitio HISPAM,Nombre Sitio,Departamento,Provincia,Distrito,Direccion,TIPO DE ZONA,Zona,L/R,Atención Incidencias,Latitud,Longitud,Observación,nueva segmentación comercial,"Nemónico 
(Código único)"
CA00569,B_2,FRATERNIDAD_CAJARMARCA,CAJAMARCA,CAJAMARCA,CAJAMARCA,JR. GUILLERMO URRELO 1337,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-7.153685,-78.511142,,Oro,CA00569
LI06649,B_2,FRATERNIDAD_REEM,LIMA,LIMA,SAN ISIDRO,Av.Guardia Civil Cdra.7,URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.09699,-77.01152,,Black,LI06649
CA00070,B_2,FRESNOS_CA,CAJAMARCA,CAJAMARCA,CAJAMARCA,"LOTE A, PARTE DEL LOTE 15, MANZANA ""G"" DE LA URBANIZACIÓN EL INGENIO.",URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-7.14699,-78.5157,,Oro,CA00070
LI01604,B_2,FRESNOS_LI,LIMA,LIMA,LURIN,CONJUNTO RESIDENCIAL SANTÍSIMO SALVADOR - LAS PALMAS MZ. U LT. 1,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.23295,-76.89457,,Clásico,LI01604
LI05555,D_3,FRUTALES_REEM,LIMA,LIMA,ATE,CALLE LOS PLATEROS CDRA. 1,URBANO LIMA,Zona 2,LIMA,FEE,-12.0633,-76.96628,,Oro,LI05555
LI05330,B_2,FUCSIAS_GRAU,LIMA,LIMA,SAN JUAN DE LURIGANCHO,AA.HH HUASCAR MZ 198 LT 9 S.J.L,URBANO LIMA,Zona 3,LIMA,FEE,-11.94967,-77.0063,,Oro,LI05330
MO00059,B_3,FUNDICIÓN SOUTHERN,MOQUEGUA,ILO,ILO,CERRO LOMATORA,NO URBANO,Zona 3,REGIONES,BAJO DEMANDA,-17.51317,-71.35747,,Oro,MO00059
LI00367,B_1,FUNDO BARBADILLO,LIMA,LIMA,ATE,FUNDO BARBADILLO,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.039833,-76.913622,,Oro,LI00367
PU00283,B_3,Fundo Jiscamarca,PUNO,CHUCUITO,DESAGUADERO,Fundo Jiscamarca,NO URBANO,Zona 3,REGIONES,BAJO DEMANDA,-8.405255,-74.567172,,Abandonar,PU00283
LI05411,B_1,FUNDO MARQUEZ,CALLAO,CALLAO,CALLAO,"AV. NESTOR GAMBETA KM 13,5 SUB LOTE 5A (EX FUNDO MARQUEZ)",URBANO LIMA,Zona 1,LIMA,FEE,-11.94341722,-77.13096083,,Oro,LI05411
LI05960,B_2,FUNDO_LA_CAPITANA,LIMA,LIMA,PUENTE PIEDRA,MZ. L  LT. 4 ASOCIACION VILLA LAS MARGARITAS,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-11.890756,-77.06515,,Oro,LI05960
LI00039,D_1,LAS VIÑAS,LIMA,LIMA,LA MOLINA,CERRO LA CAPILLA   URB. LA CAPILLA,URBANO LIMA,Zona 2,LIMA,FEE,-12.105236,-76.94465,,Black,LI00039
IC00102,B_1,G CHACALTANA 2,ICA,ICA,ICA,"CALLE LOS ÁLAMOS F-14, URB. SANTA ANITA",URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-14.0696,-75.7225,,Oro,IC00102
LI00696,B_3,G CORDOVA 1,LIMA,LIMA,JESUS MARIA,A. Guisse Cdra 4 / C. Carrillo,URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.073414,-77.03958456,,Black,LI00696
LI00643,B_3,G CORDOVA 2,LIMA,LIMA,JESUS MARIA,JAVIER MARIATEGUI 441 CON GUISSE P2,URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.07611997,-77.039909,,Black,LI00643
